Dataset,Criteria,maxDepth,Avg_acc
Iris,IG,5,95.3333
Iris,IG,10,96
Iris,IG,13,94.3333
Iris,IG,15,94.8333
Iris,IG,20,94.8333
Iris,IGR,5,95.3333
Iris,IGR,10,94.3333
Iris,IGR,13,95
Iris,IGR,15,95.5
Iris,IGR,20,95
Iris,NWIG,5,95.1667
Iris,NWIG,10,95.3333
Iris,NWIG,13,96.1667
Iris,NWIG,15,95
Iris,NWIG,20,95
Adult,IG,5,80.0998
Adult,IG,10,77.7837
Adult,IG,13,77.8497
Adult,IG,15,77.8919
Adult,IG,20,77.601
Adult,IGR,5,81.9891
Adult,IGR,10,79.6691
Adult,IGR,13,77.5326
Adult,IGR,15,77.3814
Adult,IGR,20,77.4428
Adult,NWIG,5,82.6401
Adult,NWIG,10,79.9739
Adult,NWIG,13,79.4672
Adult,NWIG,15,79.5094
Adult,NWIG,20,79.653